"AFUANG, ABNER (IND)"
"ALBANI, IBRAHIM (WPP)"
"APOLINARIO, PASTOR (IND)"
"ARCILLA, OSCAR JR. (IND)"
"ARRANZA, MANG JESS (IND)"
"BAGUILAT, TEDDY (LP)"
"BAILEN, AGNES (IND)"
"BALITA, CARL (AKSYON)"
"BARBO, LUTZ (PDPLBN)"
"BAUTISTA, HERBERT BISTEK (NPC)"
"BELGICA, GRECO (PDDS)"
"BELLO, SILVESTRE JR. (PDPLBN)"
"BIAZON, DEVIENDO SR. (IND)"
"BINAY, JOJO (UNA)"
"CABONEGRO, ROY (PLM)"
"CASTRICIONES, BRO JOHN (PDPLBN)"
"CAYETANO, ALAN PETER (IND)"
"CHAVEZ, MELCHOR (WPP)"
"COLMENARES, NERI (MKBYN)"
"D'ANGELO, DAVID (PLM)"
"DE LIMA, LEILA (LP)"
"DEL ROSARIO, MONSOUR (PDR)"
"DIAZ, DING (PPP)"
"DIOKNO, CHEL (KANP)"
"EJERCITO, JV ESTRADA (NPC)"
"ELEAZAR, GEN. GUILLERMO (PDR)"
"EREÑO, BRO. ERNIE (PM)"
"ESCUDERO, CHIZ (NPC)"
"ESPIRITU, LUKE (PLM)"
"ESTRADA, JINGGOY (PMP)"
"FALCONE, BAL FALCON (DPP)"
"GADON, LARRY (KBL)"
"GATCHALIAN, WIN (NPC)"
"GORDON, WOW DICK (BVNP)"
"GUTOC, SAMIRA (AKSYON)"
"HONASAN, GRINGO (IND)"
"HONTIVEROS, RISA (AKBAYAN)"
"JARDIN, SAMUEL ALOYSIUS (IND)"
"JAVELLANA, RJ (IND)"
"KIRAM, NUR-MAHAL (IND)"
"LABOG, ELMER (MKBYN)"
"LACAP, MARK ANTHONY (IND)"
"LACSON, KUYA ALEX (KP)"
"LANGIT, REY (PDPLBN)"
"LEGARDA, LOREN (NPC)"
"LIM, ARIEL (IND)"
"MALLILLIN, EMILY (PPM)"
"MARCOLETA, RODANTE (PDPLBN)"
"MARCOS, FRANCIS LEO (IND)"
"MARQUEZ, NORMAN (IND)"
"MATULA, SONNY (IND)"
"MINDALANO-ADAM,MARIETA (KTPNAN)"
"OLARTE, ATTY/DR. LEO (BIGKIS)"
"PADILLA, DRA. MINGUITA (PDR)"
"PADILLA, ROBIN (PDPLBN)"
"PANELO, SAL PANALO (PDPLBN)"
"PIMENTEL, ASTRA (PDPLBN)"
"PIÑOL, MANNY (NPC)"
"RICABLANCA, WILLIE JR. (PM)"
"ROQUE, HARRY SPOX (PRP)"
"SAHIDULLA, LADY ANNE (PDDS)"
"SISON, JOPET (AKSYON)"
"TEODORO, GIBO (PRP)"
"TRILLANES, ANTONIO IV (LP)"
"TULFO, IDOL RAFFY (IND)"
"VALEROS, REY (IND)"
"VILLANUEVA,JOEL TESDAMAN (IND)"
"VILLAR, MARK (NP)"
"ZUBIAGA, CARMEN (IND)"
"ZUBIRI, MIGZ (IND)"